Model,TBS 1062,
Firmware Version,CF:91.1CT FV:v26.02,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.1,0.1
Horizontal Delay,0,0
Sample Interval,0.0004,0.0004
Record Length,2500,2500
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10X,10X
Vertical Units,"Volts","Volts"
Vertical Offset,0,0
Vertical Scale,5,0.2
Vertical Position,164,-9.2
,,
,,
,,
Label,,
TIME,CH1,CH2
-4.6364,-8.1998E+07,18380.8
-4.636,-8.1998E+07,18380
-4.6356,-8.1998E+07,18381.6
-4.6352,-8.19982E+07,18380.8
-4.6348,-8.1998E+07,18380.8
-4.6344,-8.1998E+07,18381.6
-4.634,-8.1998E+07,18380
-4.6336,-8.19982E+07,18383.2
-4.6332,-8.19982E+07,18382.4
-4.6328,-8.19982E+07,18381.6
-4.6324,-8.19982E+07,18382.4
-4.632,-8.19982E+07,18381.6
-4.6316,-8.19982E+07,18383.2
-4.6312,-8.19982E+07,18382.4
-4.6308,-8.19982E+07,18381.6
-4.6304,-8.19982E+07,18382.4
-4.63,-8.19982E+07,18382.4
-4.6296,-8.19982E+07,18382.4
-4.6292,-8.19984E+07,18383.2
-4.6288,-8.19982E+07,18383.2
-4.6284,-8.19984E+07,18383.2
-4.628,-8.19984E+07,18384
-4.6276,-8.19984E+07,18382.4
-4.6272,-8.19984E+07,18382.4
-4.6268,-8.19984E+07,18384
-4.6264,-8.19984E+07,18383.2
-4.626,-8.19984E+07,18384
-4.6256,-8.19984E+07,18383.2
-4.6252,-8.19984E+07,18384.8
-4.6248,-8.19984E+07,18384
-4.6244,-8.19984E+07,18384
-4.624,-8.19984E+07,18384.8
-4.6236,-8.19986E+07,18384
-4.6232,-8.19984E+07,18385.6
-4.6228,-8.19986E+07,18385.6
-4.6224,-8.19984E+07,18384.8
-4.622,-8.19986E+07,18385.6
-4.6216,-8.19986E+07,18384.8
-4.6212,-8.19986E+07,18384.8
-4.6208,-8.19986E+07,18385.6
-4.6204,-8.19986E+07,18385.6
-4.62,-8.19986E+07,18385.6
-4.6196,-8.19986E+07,18385.6
-4.6192,-8.19986E+07,18385.6
-4.6188,-8.19986E+07,18386.4
-4.6184,-8.19986E+07,18384.8
-4.618,-8.19986E+07,18385.6
-4.6176,-8.19986E+07,18387.2
-4.6172,-8.19986E+07,18386.4
-4.6168,-8.19986E+07,18384.8
-4.6164,-8.19986E+07,18387.2
-4.616,-8.19986E+07,18386.4
-4.6156,-8.19986E+07,18387.2
-4.6152,-8.19986E+07,18387.2
-4.6148,-8.19986E+07,18386.4
-4.6144,-8.19986E+07,18387.2
-4.614,-8.19988E+07,18385.6
-4.6136,-8.19986E+07,18386.4
-4.6132,-8.19986E+07,18387.2
-4.6128,-8.19988E+07,18386.4
-4.6124,-8.19986E+07,18387.2
-4.612,-8.19988E+07,18387.2
-4.6116,-8.19988E+07,18386.4
-4.6112,-8.19988E+07,18387.2
-4.6108,-8.19986E+07,18386.4
-4.6104,-8.19988E+07,18387.2
-4.61,-8.19988E+07,18388
-4.6096,-8.19986E+07,18388
-4.6092,-8.19988E+07,18388
-4.6088,-8.19988E+07,18387.2
-4.6084,-8.19988E+07,18388
-4.608,-8.19988E+07,18387.2
-4.6076,-8.19988E+07,18388
-4.6072,-8.19988E+07,18388.8
-4.6068,-8.19988E+07,18388
-4.6064,-8.19988E+07,18387.2
-4.606,-8.19988E+07,18388
-4.6056,-8.19988E+07,18388
-4.6052,-8.19988E+07,18388
-4.6048,-8.19988E+07,18388.8
-4.6044,-8.19988E+07,18387.2
-4.604,-8.19988E+07,18388.8
-4.6036,-8.19988E+07,18388
-4.6032,-8.19988E+07,18388.8
-4.6028,-8.19988E+07,18388.8
-4.6024,-8.19988E+07,18388.8
-4.602,-8.19988E+07,18388
-4.6016,-8.19988E+07,18388.8
-4.6012,-8.19988E+07,18389.6
-4.6008,-8.19988E+07,18389.6
-4.6004,-8.1999E+07,18388
-4.6,-8.19988E+07,18389.6
-4.5996,-8.19988E+07,18389.6
-4.5992,-8.19988E+07,18388.8
-4.5988,-8.1999E+07,18389.6
-4.5984,-8.19988E+07,18389.6
-4.598,-8.19988E+07,18389.6
-4.5976,-8.19988E+07,18390.4
-4.5972,-8.19988E+07,18390.4
-4.5968,-8.19988E+07,18390.4
-4.5964,-8.19988E+07,18388.8
-4.596,-8.1999E+07,18390.4
-4.5956,-8.19988E+07,18391.2
-4.5952,-8.19988E+07,18390.4
-4.5948,-8.19988E+07,18389.6
-4.5944,-8.19988E+07,18391.2
-4.594,-8.19988E+07,18390.4
-4.5936,-8.19988E+07,18390.4
-4.5932,-8.19988E+07,18391.2
-4.5928,-8.19988E+07,18391.2
-4.5924,-8.19988E+07,18390.4
-4.592,-8.19988E+07,18391.2
-4.5916,-8.19988E+07,18391.2
-4.5912,-8.19988E+07,18391.2
-4.5908,-8.19988E+07,18392
-4.5904,-8.19988E+07,18391.2
-4.59,-8.19988E+07,18391.2
-4.5896,-8.19988E+07,18392
-4.5892,-8.19988E+07,18392.8
-4.5888,-8.19988E+07,18392
-4.5884,-8.19988E+07,18392.8
-4.588,-8.19988E+07,18393.6
-4.5876,-8.19988E+07,18392
-4.5872,-8.19988E+07,18391.2
-4.5868,-8.19986E+07,18392
-4.5864,-8.19986E+07,18393.6
-4.586,-8.19988E+07,18392
-4.5856,-8.19986E+07,18392.8
-4.5852,-8.19988E+07,18392
-4.5848,-8.19986E+07,18392
-4.5844,-8.19986E+07,18392.8
-4.584,-8.19986E+07,18392
-4.5836,-8.19986E+07,18394.4
-4.5832,-8.19986E+07,18392.8
-4.5828,-8.19986E+07,18394.4
-4.5824,-8.19986E+07,18392.8
-4.582,-8.19986E+07,18393.6
-4.5816,-8.19986E+07,18395.2
-4.5812,-8.19986E+07,18394.4
-4.5808,-8.19984E+07,18392.8
-4.5804,-8.19986E+07,18395.2
-4.58,-8.19986E+07,18393.6
-4.5796,-8.19984E+07,18393.6
-4.5792,-8.19984E+07,18394.4
-4.5788,-8.19984E+07,18392.8
-4.5784,-8.19984E+07,18394.4
-4.578,-8.19984E+07,18394.4
-4.5776,-8.19984E+07,18395.2
-4.5772,-8.19984E+07,18394.4
-4.5768,-8.19984E+07,18394.4
-4.5764,-8.19984E+07,18394.4
-4.576,-8.19984E+07,18395.2
-4.5756,-8.19982E+07,18395.2
-4.5752,-8.19982E+07,18394.4
-4.5748,-8.19982E+07,18394.4
-4.5744,-8.19982E+07,18394.4
-4.574,-8.19982E+07,18394.4
-4.5736,-8.19982E+07,18394.4
-4.5732,-8.19982E+07,18394.4
-4.5728,-8.19982E+07,18396.8
-4.5724,-8.19982E+07,18395.2
-4.572,-8.19982E+07,18395.2
-4.5716,-8.1998E+07,18394.4
-4.5712,-8.1998E+07,18396
-4.5708,-8.1998E+07,18396
-4.5704,-8.1998E+07,18396
-4.57,-8.1998E+07,18396
-4.5696,-8.19978E+07,18395.2
-4.5692,-8.1998E+07,18395.2
-4.5688,-8.19978E+07,18396
-4.5684,-8.19978E+07,18394.4
-4.568,-8.19978E+07,18396
-4.5676,-8.19976E+07,18394.4
-4.5672,-8.19978E+07,18395.2
-4.5668,-8.19978E+07,18395.2
-4.5664,-8.19976E+07,18396
-4.566,-8.19976E+07,18395.2
-4.5656,-8.19976E+07,18395.2
-4.5652,-8.19976E+07,18396
-4.5648,-8.19976E+07,18396
-4.5644,-8.19974E+07,18393.6
-4.564,-8.19974E+07,18395.2
-4.5636,-8.19974E+07,18394.4
-4.5632,-8.19972E+07,18395.2
-4.5628,-8.19972E+07,18395.2
-4.5624,-8.19972E+07,18396.8
-4.562,-8.19972E+07,18395.2
-4.5616,-8.1997E+07,18395.2
-4.5612,-8.1997E+07,18396
-4.5608,-8.1997E+07,18396
-4.5604,-8.19968E+07,18395.2
-4.56,-8.19968E+07,18396
-4.5596,-8.19966E+07,18394.4
-4.5592,-8.19966E+07,18395.2
-4.5588,-8.19966E+07,18395.2
-4.5584,-8.19964E+07,18394.4
-4.558,-8.19964E+07,18395.2
-4.5576,-8.19962E+07,18395.2
-4.5572,-8.19962E+07,18395.2
-4.5568,-8.1996E+07,18395.2
-4.5564,-8.1996E+07,18395.2
-4.556,-8.1996E+07,18395.2
-4.5556,-8.19958E+07,18395.2
-4.5552,-8.19958E+07,18396
-4.5548,-8.19958E+07,18396
-4.5544,-8.19958E+07,18395.2
-4.554,-8.19956E+07,18393.6
-4.5536,-8.19958E+07,18395.2
-4.5532,-8.19958E+07,18395.2
-4.5528,-8.19958E+07,18395.2
-4.5524,-8.19958E+07,18395.2
-4.552,-8.19958E+07,18396
-4.5516,-8.1996E+07,18394.4
-4.5512,-8.1996E+07,18396
-4.5508,-8.1996E+07,18395.2
-4.5504,-8.19962E+07,18395.2
-4.55,-8.19962E+07,18396
-4.5496,-8.19964E+07,18395.2
-4.5492,-8.19964E+07,18395.2
-4.5488,-8.19964E+07,18395.2
-4.5484,-8.19964E+07,18396
-4.548,-8.19964E+07,18396
-4.5476,-8.19964E+07,18394.4
-4.5472,-8.19964E+07,18394.4
-4.5468,-8.19964E+07,18394.4
-4.5464,-8.19966E+07,18396
-4.546,-8.19966E+07,18394.4
-4.5456,-8.19966E+07,18395.2
-4.5452,-8.19966E+07,18394.4
-4.5448,-8.19964E+07,18395.2
-4.5444,-8.19964E+07,18395.2
-4.544,-8.19964E+07,18393.6
-4.5436,-8.19964E+07,18395.2
-4.5432,-8.19964E+07,18394.4
-4.5428,-8.19964E+07,18394.4
-4.5424,-8.19964E+07,18395.2
-4.542,-8.19962E+07,18396
-4.5416,-8.19962E+07,18395.2
-4.5412,-8.19964E+07,18395.2
-4.5408,-8.19962E+07,18396
-4.5404,-8.19962E+07,18396
-4.54,-8.1996E+07,18394.4
-4.5396,-8.1996E+07,18393.6
-4.5392,-8.1996E+07,18395.2
-4.5388,-8.19958E+07,18394.4
-4.5384,-8.19958E+07,18394.4
-4.538,-8.19958E+07,18395.2
-4.5376,-8.19956E+07,18394.4
-4.5372,-8.19956E+07,18396
-4.5368,-8.19954E+07,18393.6
-4.5364,-8.19954E+07,18393.6
-4.536,-8.19952E+07,18395.2
-4.5356,-8.19952E+07,18394.4
-4.5352,-8.19952E+07,18393.6
-4.5348,-8.1995E+07,18396
-4.5344,-8.19948E+07,18395.2
-4.534,-8.19948E+07,18394.4
-4.5336,-8.19946E+07,18395.2
-4.5332,-8.19944E+07,18395.2
-4.5328,-8.19944E+07,18396
-4.5324,-8.19942E+07,18394.4
-4.532,-8.1994E+07,18393.6
-4.5316,-8.19938E+07,18393.6
-4.5312,-8.19936E+07,18395.2
-4.5308,-8.19936E+07,18394.4
-4.5304,-8.19934E+07,18392.8
-4.53,-8.19932E+07,18394.4
-4.5296,-8.19928E+07,18394.4
-4.5292,-8.19926E+07,18393.6
-4.5288,-8.19926E+07,18394.4
-4.5284,-8.19922E+07,18392.8
-4.528,-8.1992E+07,18393.6
-4.5276,-8.19918E+07,18392.8
-4.5272,-8.19916E+07,18392
-4.5268,-8.19916E+07,18393.6
-4.5264,-8.19914E+07,18394.4
-4.526,-8.1991E+07,18393.6
-4.5256,-8.1991E+07,18392.8
-4.5252,-8.1991E+07,18391.2
-4.5248,-8.19908E+07,18392
-4.5244,-8.1991E+07,18392.8
-4.524,-8.1991E+07,18392.8
-4.5236,-8.1991E+07,18390.4
-4.5232,-8.1991E+07,18390.4
-4.5228,-8.1991E+07,18389.6
-4.5224,-8.19912E+07,18391.2
-4.522,-8.19912E+07,18392
-4.5216,-8.19914E+07,18392
-4.5212,-8.19914E+07,18391.2
-4.5208,-8.19914E+07,18392.8
-4.5204,-8.19916E+07,18392
-4.52,-8.19916E+07,18390.4
-4.5196,-8.19916E+07,18390.4
-4.5192,-8.19916E+07,18392
-4.5188,-8.19916E+07,18388.8
-4.5184,-8.19918E+07,18390.4
-4.518,-8.19916E+07,18390.4
-4.5176,-8.19916E+07,18388
-4.5172,-8.19916E+07,18388
-4.5168,-8.19916E+07,18386.4
-4.5164,-8.19916E+07,18388
-4.516,-8.19916E+07,18388
-4.5156,-8.19914E+07,18386.4
-4.5152,-8.19914E+07,18385.6
-4.5148,-8.19914E+07,18388
-4.5144,-8.19912E+07,18385.6
-4.514,-8.19912E+07,18381.6
-4.5136,-8.19912E+07,18384.8
-4.5132,-8.1991E+07,18384.8
-4.5128,-8.1991E+07,18386.4
-4.5124,-8.19908E+07,18383.2
-4.512,-8.19908E+07,18383.2
-4.5116,-8.19906E+07,18383.2
-4.5112,-8.19906E+07,18384
-4.5108,-8.19908E+07,18380
-4.5104,-8.19908E+07,18378.4
-4.51,-8.19908E+07,18382.4
-4.5096,-8.1991E+07,18378.4
-4.5092,-8.1991E+07,18380
-4.5088,-8.19912E+07,18382.4
-4.5084,-8.19912E+07,18377.6
-4.508,-8.19914E+07,18379.2
-4.5076,-8.19914E+07,18378.4
-4.5072,-8.19916E+07,18376
-4.5068,-8.19918E+07,18374.4
-4.5064,-8.1992E+07,18376.8
-4.506,-8.1992E+07,18372.8
-4.5056,-8.19922E+07,18371.2
-4.5052,-8.19922E+07,18370.4
-4.5048,-8.19922E+07,18369.6
-4.5044,-8.19924E+07,18368.8
-4.504,-8.19926E+07,18368.8
-4.5036,-8.19926E+07,18368
-4.5032,-8.19928E+07,18365.6
-4.5028,-8.19928E+07,18368
-4.5024,-8.19928E+07,18362.4
-4.502,-8.1993E+07,18366.4
-4.5016,-8.1993E+07,18363.2
-4.5012,-8.1993E+07,18364.8
-4.5008,-8.19932E+07,18362.4
-4.5004,-8.19932E+07,18360.8
-4.5,-8.19932E+07,18359.2
-4.4996,-8.19932E+07,18362.4
-4.4992,-8.19932E+07,18360.8
-4.4988,-8.19932E+07,18360.8
-4.4984,-8.19934E+07,18360.8
-4.498,-8.19934E+07,18360
-4.4976,-8.19934E+07,18359.2
-4.4972,-8.19934E+07,18360
-4.4968,-8.19936E+07,18360
-4.4964,-8.19936E+07,18359.2
-4.496,-8.19938E+07,18360.8
-4.4956,-8.19938E+07,18357.6
-4.4952,-8.19938E+07,18360.8
-4.4948,-8.19938E+07,18362.4
-4.4944,-8.19938E+07,18364
-4.494,-8.1994E+07,18363.2
-4.4936,-8.1994E+07,18364
-4.4932,-8.1994E+07,18364.8
