Model,TBS 1062
Firmware Version,CF:91.1CT FV:v26.02
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,"s"
Horizontal Scale,0.1
Horizontal Delay,0
Sample Interval,0.0004
Record Length,2500
Gating,0.0% to 100.0%
Probe Attenuation,10X
Vertical Units,"Volts"
Vertical Offset,0
Vertical Scale,5
Vertical Position,1.2
,
,
,
Label,
TIME,CH1
-4.514,-1.8
-4.5136,-1.6
-4.5132,-1.6
-4.5128,-1.6
-4.5124,-1.6
-4.512,-1.6
-4.5116,-1.6
-4.5112,-1.6
-4.5108,-1.6
-4.5104,-1.6
-4.51,-1.4
-4.5096,-1.6
-4.5092,-1.6
-4.5088,-1.6
-4.5084,-1.4
-4.508,-1.6
-4.5076,-1.6
-4.5072,-1.4
-4.5068,-1.4
-4.5064,-1.6
-4.506,-1.4
-4.5056,-1.4
-4.5052,-1.4
-4.5048,-1.4
-4.5044,-1.6
-4.504,-1.4
-4.5036,-1.4
-4.5032,-1.4
-4.5028,-1.4
-4.5024,-1.4
-4.502,-1.4
-4.5016,-1.4
-4.5012,-1.4
-4.5008,-1.4
-4.5004,-1.4
-4.5,-1.4
-4.4996,-1.4
-4.4992,-1.4
-4.4988,-1.4
-4.4984,-1.4
-4.498,-1.2
-4.4976,-1.6
-4.4972,-1.2
-4.4968,-1.4
-4.4964,-1.4
-4.496,-1.4
-4.4956,-1.2
-4.4952,-1.2
-4.4948,-1.2
-4.4944,-1.2
-4.494,-1.2
-4.4936,-1.4
-4.4932,-1.4
-4.4928,-1.2
-4.4924,-1.2
-4.492,-1.2
-4.4916,-1.2
-4.4912,-1.2
-4.4908,-1.2
-4.4904,-1.2
-4.49,-1.2
-4.4896,-1.2
-4.4892,-1.4
-4.4888,-1.2
-4.4884,-1.2
-4.488,-1.2
-4.4876,-1.2
-4.4872,-1.2
-4.4868,-1.2
-4.4864,-1.2
-4.486,-1
-4.4856,-1.2
-4.4852,-1.2
-4.4848,-1
-4.4844,-1
-4.484,-1.2
-4.4836,-1.2
-4.4832,-1.2
-4.4828,-1
-4.4824,-1.2
-4.482,-1
-4.4816,-1.2
-4.4812,-1.2
-4.4808,-1.2
-4.4804,-1.2
-4.48,-1.2
-4.4796,-1.2
-4.4792,-1
-4.4788,-1.2
-4.4784,-1.2
-4.478,-1
-4.4776,-1
-4.4772,-1
-4.4768,-1
-4.4764,-1.2
-4.476,-1
-4.4756,-1
-4.4752,-1.2
-4.4748,-1
-4.4744,-1
-4.474,-1.2
-4.4736,-1
-4.4732,-1
-4.4728,-1.2
-4.4724,-1
-4.472,-1
-4.4716,-1.2
-4.4712,-1
-4.4708,-1
-4.4704,-1
-4.47,-1.2
-4.4696,-1.2
-4.4692,-1
-4.4688,-1
-4.4684,-1.2
-4.468,-1.2
-4.4676,-1
-4.4672,-1
-4.4668,-1.2
-4.4664,-1.2
-4.466,-1
-4.4656,-1
-4.4652,-1.2
-4.4648,-1.2
-4.4644,-1
-4.464,-1
-4.4636,-1
-4.4632,-1
-4.4628,-1
-4.4624,-1
-4.462,-1.2
-4.4616,-1
-4.4612,-1
-4.4608,-1.2
-4.4604,-1.2
-4.46,-1
-4.4596,-1.2
-4.4592,-1.2
-4.4588,-1.2
